Object ID,Compound,Pathways of compound,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity
D-ALA-D-ALA,D-alanyl-D-alanine,UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing) // peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing),UDP-<i>N</i>-Acetylmuramoyl-Pentapeptide Biosynthesis // Peptidoglycan Biosynthesis // Superpathways,Cell Wall Biosynthesis // Pathways,Cell Structure Biosynthesis // All Pathways and Reactions,Biosynthesis // FRAMES,Pathways // THINGS,All Pathways and Reactions // 
S-ADENOSYLMETHIONINE,<i>S</i>-adenosyl-L-methionine,<i>S</i>-adenosyl-L-methionine salvage I // S-adenosyl-L-methionine biosynthesis // aspartate superpathway // superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // <i>cis</i>-cyclopropane fatty acid (CFA) biosynthesis // lipoate biosynthesis and incorporation II // lipoate biosynthesis and incorporation I // molybdopterin biosynthesis // methylphosphonate degradation I // (aminomethyl)phosphonate degradation // queuosine biosynthesis I (<i>de novo</i>) // thiazole component of thiamine diphosphate biosynthesis I // 5-(methoxycarbonylmethoxy)uridine biosynthesis // 8-amino-7-oxononanoate biosynthesis I // tRNA-uridine 2-thiolation and selenation (bacteria) // 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I // superpathway of thiamine diphosphate biosynthesis I // menaquinol-8 biosynthesis // superpathway of menaquinol-8 biosynthesis I // autoinducer AI-2 biosynthesis I // siroheme biosynthesis // heme <i>b</i> biosynthesis II (oxygen-independent) // superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III // aminopropylcadaverine biosynthesis // spermidine biosynthesis I // superpathway of polyamine biosynthesis I // superpathway of arginine and polyamine biosynthesis // biotin biosynthesis from 8-amino-7-oxononanoate I // biotin biosynthesis I // ubiquinol-8 biosynthesis (early decarboxylation) // superpathway of ubiquinol-8 biosynthesis (early decarboxylation) // superpathway of chorismate metabolism,"<i>S</i>-adenosyl-L-methionine Biosynthesis // Superpathways // Cyclopropane Fatty Acid Biosynthesis // Lipoate Biosynthesis and Salvage // Molybdenum-Containing Cofactor Biosynthesis // Methylphosphonate Degradation // Phosphonate Compound Degradation // Queuosine Biosynthesis and Salvage // Thiazole Biosynthesis // Nucleic Acid Processing // 8-Amino-7-oxononanoate Biosynthesis // 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis // Thiamine Biosynthesis // Menaquinol Biosynthesis // Autoinducer Biosynthesis // Porphyrin Compound Biosynthesis // Heme <i>b</i> Biosynthesis // Amide, Amidine, Amine, and Polyamine Biosynthesis // Spermidine Biosynthesis // Biotin Biosynthesis // Ubiquinol Biosynthesis","Single Carbon Carrier Biosynthesis // Enzyme Cofactor Biosynthesis // Pathways // Fatty Acid Biosynthesis // Phosphonate Compound Degradation // Phosphonate Metabolism // Nucleic Acid Processing // Thiamine Biosynthesis // Macromolecule Modification // Other Biosynthesis // Vitamin Biosynthesis // Quinol and Quinone Biosynthesis // Secondary Metabolite Biosynthesis // Tetrapyrrole Biosynthesis // Heme Biosynthesis // Biosynthesis // Amide, Amidine, Amine, and Polyamine Biosynthesis","Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions // Fatty Acid and Lipid Biosynthesis // Phosphonate Metabolism // Phosphorus Compound Metabolism // Macromolecule Modification // Enzyme Cofactor Biosynthesis // Vitamin Biosynthesis // Pathways // Biosynthesis // Electron Carrier Biosynthesis // Porphyrin Compound Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // FRAMES // Phosphorus Compound Metabolism // Inorganic Nutrient Metabolism // Pathways // All Pathways and Reactions // Carrier Biosynthesis // Tetrapyrrole Biosynthesis","Biosynthesis // Pathways // THINGS // Inorganic Nutrient Metabolism // Degradation/Utilization/Assimilation // All Pathways and Reactions // FRAMES // Cofactor, Carrier, and Vitamin Biosynthesis",Pathways // All Pathways and Reactions //  // Degradation/Utilization/Assimilation // FRAMES // THINGS // Biosynthesis
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE,S-adenosyl-4-methylsulfanyl-2-oxobutanoate,biotin biosynthesis from 8-amino-7-oxononanoate I // biotin biosynthesis I,Biotin Biosynthesis // Superpathways,Enzyme Cofactor Biosynthesis // Pathways,"Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions",Biosynthesis // FRAMES,Pathways // THINGS,All Pathways and Reactions // 
ANTHRANILATE,anthranilate,L-tryptophan biosynthesis // superpathway of L-tryptophan biosynthesis // superpathway of aromatic amino acid biosynthesis // superpathway of chorismate metabolism,L-tryptophan Biosynthesis // Superpathways // Proteinogenic Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis // Pathways // Amino Acid Biosynthesis,Amino Acid Biosynthesis // All Pathways and Reactions // Biosynthesis,Biosynthesis // FRAMES // Pathways,Pathways // THINGS // All Pathways and Reactions,All Pathways and Reactions //  // FRAMES
APS,adenosine 5'-phosphosulfate,sulfate activation for sulfonation // assimilatory sulfate reduction I // superpathway of sulfate assimilation and cysteine biosynthesis,Metabolite Activation // Sulfur Compound Metabolism // Assimilatory Sulfate Reduction // Superpathways,Metabolite Activation/Inactivation/Interconversion // Inorganic Nutrient Metabolism // Sulfur Compound Metabolism // Pathways,Pathways // Degradation/Utilization/Assimilation // Inorganic Nutrient Metabolism // All Pathways and Reactions,All Pathways and Reactions // Pathways // Degradation/Utilization/Assimilation // FRAMES,FRAMES // All Pathways and Reactions // Pathways // THINGS,THINGS // FRAMES // All Pathways and Reactions // 
L-ARGININO-SUCCINATE,L-arginino-succinate,L-arginine biosynthesis I (via L-ornithine) // superpathway of arginine and polyamine biosynthesis,"L-arginine Biosynthesis // Superpathways // Amide, Amidine, Amine, and Polyamine Biosynthesis",Proteinogenic Amino Acid Biosynthesis // Pathways // Biosynthesis,Amino Acid Biosynthesis // All Pathways and Reactions // Pathways,Biosynthesis // FRAMES // All Pathways and Reactions,Pathways // THINGS // FRAMES,All Pathways and Reactions //  // THINGS
L-ASPARTATE-SEMIALDEHYDE,L-aspartate 4-semialdehyde,"L-lysine biosynthesis I // L-homoserine biosynthesis // superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // superpathway of L-homoserine and L-methionine biosynthesis // superpathway of L-threonine biosynthesis // superpathway of L-lysine, L-threonine and L-methionine biosynthesis I // aspartate superpathway",L-lysine Biosynthesis // Other Amino Acid Biosynthesis // <i>S</i>-adenosyl-L-methionine Biosynthesis // Superpathways // L-methionine <i>De Novo</i> Biosynthesis // L-threonine Biosynthesis // Proteinogenic Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Single Carbon Carrier Biosynthesis // Enzyme Cofactor Biosynthesis // Pathways // L-methionine Biosynthesis,"Amino Acid Biosynthesis // Biosynthesis // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions // Proteinogenic Amino Acid Biosynthesis","Biosynthesis // Pathways // Cofactor, Carrier, and Vitamin Biosynthesis // FRAMES // Amino Acid Biosynthesis",Pathways // All Pathways and Reactions // Biosynthesis // THINGS,All Pathways and Reactions // FRAMES // Pathways // 
CROTONYL-COA,crotonyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
CPD-15874,<i>bis</i>(molybdenum cofactor),bis(guanylyl molybdenum cofactor) biosynthesis,Molybdenum-Containing Cofactor Biosynthesis,Enzyme Cofactor Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",Biosynthesis,Pathways,All Pathways and Reactions
BUTYRYL-COA,butanoyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
BIOTIN,biotin,biotin biosynthesis from 8-amino-7-oxononanoate I // biotin biosynthesis I // biotin-carboxyl carrier protein assembly,Biotin Biosynthesis // Superpathways // Fatty Acid and Lipid Biosynthesis,Enzyme Cofactor Biosynthesis // Pathways // Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions // Pathways",Biosynthesis // FRAMES // All Pathways and Reactions,Pathways // THINGS // FRAMES,All Pathways and Reactions //  // THINGS
CA+2,Ca<SUP>2+</SUP>,,,,,,,
CARBAMYUL-L-ASPARTATE,<i>N</i>-carbamoyl-L-aspartate,"UMP biosynthesis I // superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis",UMP Biosynthesis // Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis // Superpathways // Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis,Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // Pathways // 2'-Deoxyribonucleotide Biosynthesis,Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Nucleotide Biosynthesis // All Pathways and Reactions // Nucleoside and Nucleotide Biosynthesis,Pyrimidine Nucleotide Biosynthesis // Nucleoside and Nucleotide Biosynthesis // FRAMES // Biosynthesis,Nucleoside and Nucleotide Biosynthesis // Biosynthesis // THINGS // Pathways,Biosynthesis // Pathways //  // All Pathways and Reactions
CARBAMOYL-P,carbamoyl phosphate,"NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis // allantoin degradation IV (anaerobic) // UMP biosynthesis I // superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // L-arginine biosynthesis I (via L-ornithine) // superpathway of arginine and polyamine biosynthesis","Enzyme Cofactor Biosynthesis // Allantoin Degradation // Superpathways // UMP Biosynthesis // Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // L-arginine Biosynthesis // Amide, Amidine, Amine, and Polyamine Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // Amide, Amidine, Amine, and Polyamine Degradation // Pathways // Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // 2'-Deoxyribonucleotide Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Biosynthesis",Biosynthesis // Degradation/Utilization/Assimilation // All Pathways and Reactions // Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Nucleotide Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Amino Acid Biosynthesis // Pathways,Pathways // FRAMES // Pyrimidine Nucleotide Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Biosynthesis // All Pathways and Reactions,All Pathways and Reactions // THINGS // Nucleoside and Nucleotide Biosynthesis // Biosynthesis // Pathways // FRAMES,FRAMES //  // Biosynthesis // Pathways // All Pathways and Reactions // THINGS
CHORISMATE,chorismate,"chorismate biosynthesis from 3-dehydroquinate // chorismate biosynthesis I // 2,3-dihydroxybenzoate biosynthesis // enterobactin biosynthesis // 2-carboxy-1,4-naphthoquinol biosynthesis // superpathway of menaquinol-8 biosynthesis I // L-tyrosine biosynthesis I // superpathway of L-tyrosine biosynthesis // L-phenylalanine biosynthesis I // superpathway of L-phenylalanine biosynthesis // 4-hydroxybenzoate biosynthesis II (bacteria) // superpathway of ubiquinol-8 biosynthesis (early decarboxylation) // 4-aminobenzoate biosynthesis I // superpathway of tetrahydrofolate biosynthesis // L-tryptophan biosynthesis // superpathway of L-tryptophan biosynthesis // superpathway of aromatic amino acid biosynthesis // superpathway of chorismate metabolism","Chorismate Biosynthesis // Superpathways // Aromatic Compound Biosynthesis // Siderophore and Metallophore Biosynthesis // 1,4-Dihydroxy-2-Naphthoate Biosynthesis // Menaquinol Biosynthesis // L-tyrosine Biosynthesis // L-phenylalanine Biosynthesis // 4-Hydroxybenzoate Biosynthesis // Ubiquinol Biosynthesis // 4-Aminobenzoate Biosynthesis // Folate Biosynthesis // L-tryptophan Biosynthesis // Proteinogenic Amino Acid Biosynthesis",Carboxylic Acid Biosynthesis // Pathways // Biosynthesis // Secondary Metabolite Biosynthesis // Quinol and Quinone Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Aromatic Compound Biosynthesis // Single Carbon Carrier Biosynthesis // Vitamin Biosynthesis // Amino Acid Biosynthesis,"Biosynthesis // All Pathways and Reactions // Pathways // Electron Carrier Biosynthesis // Amino Acid Biosynthesis // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis","Pathways // FRAMES // All Pathways and Reactions // Carrier Biosynthesis // Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis","All Pathways and Reactions // THINGS // FRAMES // Cofactor, Carrier, and Vitamin Biosynthesis // Pathways // Biosynthesis",FRAMES //  // THINGS // Biosynthesis // All Pathways and Reactions // Pathways
CIT,citrate,"mixed acid fermentation // TCA cycle I (prokaryotic) // glyoxylate cycle // superpathway of glyoxylate bypass and TCA // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // citrate degradation",Fermentation to Short-Chain Fatty Acids // Pyruvate Fermentation to Ethanol // Superpathways // TCA cycle // Generation of Precursor Metabolites and Energy // Carboxylic Acid Degradation,Fermentation // Fermentation to Alcohols // Fermentation of Pyruvate // Pathways // Generation of Precursor Metabolites and Energy // Degradation/Utilization/Assimilation,Generation of Precursor Metabolites and Energy // Fermentation // All Pathways and Reactions // Pathways,Pathways // Generation of Precursor Metabolites and Energy // FRAMES // All Pathways and Reactions,All Pathways and Reactions // Pathways // THINGS // FRAMES,FRAMES // All Pathways and Reactions //  // THINGS
CMP-KDO,CMP-3-deoxy-&beta;-D-<i>manno</i>-octulosonate,CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis // Kdo transfer to lipid IV<sub>A</sub> (<i>E. coli</i>) // superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis,CMP-3-deoxy-D-<I>manno</I>-octulosonate Biosynthesis // Kdo Transfer to Lipid IV<SUB>A</SUB> // Fatty Acid and Lipid Biosynthesis // Superpathways // Lipopolysaccharide Biosynthesis,CMP-sugar Biosynthesis // Lipopolysaccharide Biosynthesis // Biosynthesis // Pathways // Cell Structure Biosynthesis // Glycan Pathways,Sugar Nucleotide Biosynthesis // Cell Structure Biosynthesis // Glycan Pathways // Pathways // All Pathways and Reactions // Biosynthesis,Sugar Biosynthesis // Biosynthesis // Pathways // All Pathways and Reactions // FRAMES,Carbohydrate Biosynthesis // Pathways // All Pathways and Reactions // FRAMES // THINGS,Biosynthesis // All Pathways and Reactions // FRAMES // THINGS // 
CARBON-DIOXIDE,CO<SUB>2</SUB>,"ubiquinol-8 biosynthesis (early decarboxylation) // superpathway of ubiquinol-8 biosynthesis (early decarboxylation) // coenzyme A biosynthesis I (bacteria) // L-tyrosine biosynthesis I // superpathway of L-tyrosine biosynthesis // L-glutamate degradation IX (via 4-aminobutanoate) // &beta;-alanine biosynthesis III // superpathway of coenzyme A biosynthesis I (bacteria) // superpathway of ornithine degradation // putrescine biosynthesis III // cadaverine biosynthesis // arginine dependent acid resistance // putrescine biosynthesis I // L-arginine degradation III (arginine decarboxylase/agmatinase pathway) // superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // superpathway of L-arginine and L-ornithine degradation // UMP biosynthesis I // superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // L-lysine biosynthesis I // superpathway of L-lysine, L-threonine and L-methionine biosynthesis I // L-tryptophan biosynthesis // superpathway of L-tryptophan biosynthesis // L-valine biosynthesis // L-isoleucine biosynthesis I (from threonine) // L-phenylalanine biosynthesis I // superpathway of L-phenylalanine biosynthesis // superpathway of aromatic amino acid biosynthesis // gluconeogenesis I // phosphatidylserine and phosphatidylethanolamine biosynthesis I // superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // taurine degradation IV // methylerythritol phosphate pathway I // thiazole component of thiamine diphosphate biosynthesis I // conversion of succinate to propanoate // aminopropylcadaverine biosynthesis // spermidine biosynthesis I // superpathway of polyamine biosynthesis I // superpathway of arginine and polyamine biosynthesis // L-ascorbate degradation II (bacterial, aerobic) // L-ascorbate degradation I (bacterial, anaerobic) // polymyxin resistance // heme <i>b</i> biosynthesis II (oxygen-independent) // heme <i>b</i> biosynthesis V (aerobic) // superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III // D-malate degradation // 2-carboxy-1,4-naphthoquinol biosynthesis // demethylmenaquinol-8 biosynthesis I // superpathway of chorismate metabolism // superpathway of menaquinol-8 biosynthesis I // 2-oxoglutarate decarboxylation to succinyl-CoA // thiamine diphosphate biosynthesis I (E. coli) // superpathway of thiamine diphosphate biosynthesis I // pyruvate decarboxylation to acetyl CoA I // TCA cycle I (prokaryotic) // superpathway of glyoxylate bypass and TCA // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // pentose phosphate pathway (oxidative branch) I // pentose phosphate pathway // 8-amino-7-oxononanoate biosynthesis I // <i>cis</i>-vaccenate biosynthesis // fatty acid biosynthesis initiation (type II) // fatty acid biosynthesis initiation II // fatty acid biosynthesis initiation III // superpathway of fatty acid biosynthesis initiation // fatty acid elongation -- saturated // palmitate biosynthesis II (type II fatty acid synthase) // palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // L-arginine degradation II (AST pathway) // allantoin degradation to ureidoglycolate II (ammonia producing) // allantoin degradation IV (anaerobic) // allantoin degradation to glyoxylate III // glycine cleavage // glycine degradation // folate transformations III (<i>E. coli</i>) // (5Z)-dodecenoate biosynthesis I // superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>) // superpathway of fatty acid biosynthesis I (E. coli) // L-leucine biosynthesis // superpathway of branched chain amino acid biosynthesis // pyridoxal 5'-phosphate biosynthesis I // superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // cyanate degradation // L-threonine degradation III (to methylglyoxal) // superpathway of L-threonine metabolism // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>) // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of histidine, purine, and pyrimidine biosynthesis // L-lysine degradation I // uracil degradation III // hydrogen production V // mixed acid fermentation // glycolate and glyoxylate degradation I // superpathway of glycol metabolism and degradation // thiamine diphosphate salvage V // NAD <i>de novo</i> biosynthesis I // aspartate superpathway // pyruvate to cytochrome <i>bo</i> oxidase electron transfer // pyruvate to cytochrome <i>bd</i> oxidase electron transfer // formate to trimethylamine <i>N</i>-oxide electron transfer // formate to nitrite electron transfer // formate to dimethyl sulfoxide electron transfer // nitrate reduction III (dissimilatory) // biotin biosynthesis from 8-amino-7-oxononanoate I // biotin biosynthesis I","Ubiquinol Biosynthesis // Superpathways // Coenzyme A Biosynthesis // L-tyrosine Biosynthesis // Acid Resistance // L-glutamate Degradation // &beta; Alanine Biosynthesis // Vitamin Biosynthesis // Amide, Amidine, Amine, and Polyamine Degradation // Putrescine Biosynthesis // Amide, Amidine, Amine, and Polyamine Biosynthesis // L-arginine Degradation // UMP Biosynthesis // Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // L-lysine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // L-tryptophan Biosynthesis // L-valine Biosynthesis // L-isoleucine Biosynthesis // L-phenylalanine Biosynthesis // Gluconeogenesis // Phosphatidylethanolamine Biosynthesis // Phosphatidylserine Biosynthesis // Phospholipid Biosynthesis // Taurine Degradation // Methylerythritol Phosphate Pathways // Thiazole Biosynthesis // Succinate Degradation // Spermidine Biosynthesis // L-Ascorbate Degradation // Antibiotic Resistance // Lipopolysaccharide Biosynthesis // Heme <i>b</i> Biosynthesis // Carboxylic Acid Degradation // 1,4-Dihydroxy-2-Naphthoate Biosynthesis // Demethylmenaquinol-8 Biosynthesis // Menaquinol Biosynthesis // Respiration // Thiamine Diphosphate Biosynthesis // Thiamine Biosynthesis // Acetyl-CoA Biosynthesis // TCA cycle // Generation of Precursor Metabolites and Energy // Pentose Phosphate Pathways // 8-Amino-7-oxononanoate Biosynthesis // Unsaturated Fatty Acid Biosynthesis // Fatty Acid Biosynthesis Initiation // Fatty Acid Biosynthesis // Palmitate Biosynthesis // Palmitoleate Biosynthesis // Allantoin Degradation // Glycine Degradation // Folate Transformations // (5Z)-dodecenoate Biosynthesis // L-leucine Biosynthesis // Vitamin B<sub>6</sub> Biosynthesis // Detoxification // Nitrogen Compound Metabolism // L-threonine Degradation // Adenosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Guanosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // L-lysine Degradation // Uracil Degradation // Hydrogen Production // Fermentation to Short-Chain Fatty Acids // Pyruvate Fermentation to Ethanol // Glycolate Degradation // Alcohol Degradation // Thiamine Diphosphate Salvage // NAD Biosynthesis // Aerobic Respiration // Electron Transfer Chains // Anaerobic Respiration // Nitrate Reduction // Biotin Biosynthesis","Quinol and Quinone Biosynthesis // Pathways // Carrier Biosynthesis // Proteinogenic Amino Acid Biosynthesis // Detoxification // Proteinogenic Amino Acid Degradation // Other Amino Acid Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // Degradation/Utilization/Assimilation // Amide, Amidine, Amine, and Polyamine Biosynthesis // Biosynthesis // Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // 2'-Deoxyribonucleotide Biosynthesis // Amino Acid Biosynthesis // Sugar Biosynthesis // Phospholipid Biosynthesis // Fatty Acid and Lipid Biosynthesis // Nitrogen Compound Metabolism // Sulfur Compound Metabolism // Isopentenyl Diphosphate Biosynthesis // Thiamine Biosynthesis // Carboxylic Acid Degradation // Cell Structure Biosynthesis // Glycan Pathways // Heme Biosynthesis // Demethylmenaquinol Biosynthesis // Generation of Precursor Metabolites and Energy // Enzyme Cofactor Biosynthesis // Vitamin Biosynthesis // Other Biosynthesis // Fatty Acid Biosynthesis // Unsaturated Fatty Acid Biosynthesis // Amide, Amidine, Amine, and Polyamine Degradation // Folate Biosynthesis // Inorganic Nutrient Metabolism // Purine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide Biosynthesis // Pyrimidine Nucleobase Degradation // Fermentation // Fermentation to Alcohols // Fermentation of Pyruvate // NAD Metabolism // Respiration","Electron Carrier Biosynthesis // All Pathways and Reactions // Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Biosynthesis // Pathways // Amino Acid Degradation // Biosynthesis // Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Nucleotide Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Carbohydrate Biosynthesis // Fatty Acid and Lipid Biosynthesis // Inorganic Nutrient Metabolism // Hemiterpene Biosynthesis // Enzyme Cofactor Biosynthesis // Vitamin Biosynthesis // Degradation/Utilization/Assimilation // Porphyrin Compound Biosynthesis // Quinol and Quinone Biosynthesis // Fatty Acid Biosynthesis // Single Carbon Carrier Biosynthesis // 2'-Deoxyribonucleotide Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Nucleotide Degradation // Generation of Precursor Metabolites and Energy // Fermentation","Carrier Biosynthesis // FRAMES // Biosynthesis // All Pathways and Reactions // Degradation/Utilization/Assimilation // Pathways // Pyrimidine Nucleotide Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Terpenoid Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // Tetrapyrrole Biosynthesis // Electron Carrier Biosynthesis // Fatty Acid and Lipid Biosynthesis // Purine Nucleotide Biosynthesis // Nucleoside and Nucleotide Degradation // Generation of Precursor Metabolites and Energy","Cofactor, Carrier, and Vitamin Biosynthesis // THINGS // Pathways // FRAMES // All Pathways and Reactions // Nucleoside and Nucleotide Biosynthesis // Biosynthesis // Secondary Metabolite Biosynthesis // Carrier Biosynthesis // Degradation/Utilization/Assimilation","Biosynthesis //  // All Pathways and Reactions // THINGS // FRAMES // Pathways // Cofactor, Carrier, and Vitamin Biosynthesis"
COPROPORPHYRINOGEN_III,coproporphyrinogen III,heme <i>b</i> biosynthesis V (aerobic) // heme <i>b</i> biosynthesis II (oxygen-independent) // superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III,Heme <i>b</i> Biosynthesis // Superpathways,Heme Biosynthesis // Pathways,Enzyme Cofactor Biosynthesis // Porphyrin Compound Biosynthesis // All Pathways and Reactions,"Cofactor, Carrier, and Vitamin Biosynthesis // Tetrapyrrole Biosynthesis // FRAMES",Biosynthesis // THINGS,Pathways // 
